OP("/PM0" "vgs") X,OP("/PM0" "vgs") Y
0,-0.5
0.01010101,-0.4898989898989899
0.02020202,-0.4797979797979798
0.03030303,-0.4696969696969697
0.04040404,-0.4595959595959596
0.05050505,-0.4494949494949495
0.06060606,-0.4393939393939394
0.07070707,-0.4292929292929293
0.08080808,-0.4191919191919192
0.09090909,-0.4090909090909091
0.1010101,-0.398989898989899
0.1111111,-0.388888888888889
0.1212121,-0.378787878787879
0.1313131,-0.368686868686869
0.1414141,-0.358585858585859
0.1515152,-0.348484848484849
0.1616162,-0.338383838383838
0.1717172,-0.328282828282828
0.1818182,-0.318181818181818
0.1919192,-0.308080808080808
0.2020202,-0.297979797979798
0.2121212,-0.287878787878788
0.2222222,-0.277777777777778
0.2323232,-0.267676767676768
0.2424242,-0.257575757575758
0.2525253,-0.247474747474747
0.2626263,-0.237373737373737
0.2727273,-0.227272727272727
0.2828283,-0.217171717171717
0.2929293,-0.207070707070707
0.3030303,-0.196969696969697
0.3131313,-0.186868686868687
0.3232323,-0.176767676767677
0.3333333,-0.166666666666667
0.3434343,-0.156565656565656
0.3535354,-0.146464646464646
0.3636364,-0.136363636363636
0.3737374,-0.126262626262626
0.3838384,-0.116161616161616
0.3939394,-0.106060606060606
0.4040404,-0.09595959595959602
0.4141414,-0.08585858585858602
0.4242424,-0.07575757575757602
0.4343434,-0.06565656565656502
0.4444444,-0.05555555555555503
0.4545455,-0.04545454545454503
0.4646465,-0.03535353535353503
0.4747475,-0.02525252525252503
0.4848485,-0.01515151515151503
0.4949495,-0.005050505050505028
0.5050505,0.005050505050504972
0.5151515,0.01515151515151503
0.5252525,0.02525252525252497
0.5353535,0.03535353535353503
0.5454545,0.04545454545454597
0.5555556,0.05555555555555602
0.5656566,0.06565656565656597
0.5757576,0.07575757575757602
0.5858586,0.08585858585858597
0.5959596,0.09595959595959602
0.6060605999999999,0.106060606060606
0.6161616,0.116161616161616
0.6262626,0.126262626262626
0.6363636,0.136363636363636
0.6464645999999999,0.146464646464646
0.6565657,0.156565656565656
0.6666666999999999,0.166666666666666
0.6767677,0.176767676767676
0.6868687,0.186868686868686
0.6969697,0.196969696969696
0.7070707000000001,0.207070707070706
0.7171717,0.217171717171716
0.7272727,0.227272727272727
0.7373737,0.237373737373737
0.7474747,0.247474747474747
0.7575758,0.257575757575757
0.7676768,0.267676767676767
0.7777778,0.277777777777777
0.7878788,0.287878787878787
0.7979798,0.297979797979797
0.8080808,0.308080808080807
0.8181818,0.318181818181817
0.8282828,0.328282828282827
0.8383838,0.338383838383837
0.8484848,0.348484848484847
0.8585859,0.358585858585857
0.8686869,0.368686868686867
0.8787879,0.378787878787877
0.8888889,0.388888888888887
0.8989899,0.398989898989897
0.9090909,0.409090909090908
0.9191919,0.419191919191918
0.9292929,0.4292929292929279
0.9393939,0.439393939393938
0.9494949,0.4494949494949479
0.959596,0.459595959595958
0.969697,0.4696969696969679
0.9797979999999999,0.479797979797978
0.989899,0.4898989898989879
1,0.5
