OP("/PM0" "cgd") X,OP("/PM0" "cgd") Y
0,-3.285678258851096e-15
0.01010101,-3.285698872608415e-15
0.02020202,-3.285719197152567e-15
0.03030303,-3.285739238992086e-15
0.04040404,-3.285759004398202e-15
0.05050505,-3.285778499399844e-15
0.06060606,-3.285797729773469e-15
0.07070707,-3.285816701025857e-15
0.08080808,-3.285835418367378e-15
0.09090909,-3.285853886672225e-15
0.1010101,-3.285872110420816e-15
0.1111111,-3.285890093617702e-15
0.1212121,-3.285907839675825e-15
0.1313131,-3.285925351254487e-15
0.1414141,-3.285942630033584e-15
0.1515152,-3.285959676400136e-15
0.1616162,-3.285976489013998e-15
0.1717172,-3.285993064207309e-15
0.1818182,-3.28600939515507e-15
0.1919192,-3.286025470730971e-15
0.2020202,-3.286041273930632e-15
0.2121212,-3.286056779701074e-15
0.2222222,-3.286071951956508e-15
0.2323232,-3.286086739481704e-15
0.2424242,-3.286101070319415e-15
0.2525253,-3.286114844101324e-15
0.2626263,-3.286127921606943e-15
0.2727273,-3.286140110619612e-15
0.2828283,-3.286151146900353e-15
0.2929293,-3.286160668847523e-15
0.3030303,-3.286168184226361e-15
0.3131313,-3.286173027397714e-15
0.3232323,-3.286174306070563e-15
0.3333333,-3.286170838351518e-15
0.3434343,-3.286161084831788e-15
0.3535354,-3.286143088388184e-15
0.3636364,-3.28611444886083e-15
0.3737374,-3.286072383937371e-15
0.3838384,-3.286013963552725e-15
0.3939394,-3.285936649723589e-15
0.4040404,-3.285839309769055e-15
0.4141414,-3.285723855066375e-15
0.4242424,-3.285597516127618e-15
0.4343434,-3.285475425160585e-15
0.4444444,-3.285382667629688e-15
0.4545455,-3.285354550086243e-15
0.4646465,-3.285434002314644e-15
0.4747475,-3.285666110750934e-15
0.4848485,-3.286091346618318e-15
0.4949495,-3.286739972336747e-15
0.5050505,-3.287629555840408e-15
0.5151515,-3.28876590639312e-15
0.5252525,-3.290146296824572e-15
0.5353535,-3.291763372967289e-15
0.5454545,-3.29360855218823e-15
0.5555556,-3.295674395238104e-15
0.5656566,-3.297955958023404e-15
0.5757576,-3.300451373442991e-15
0.5858586,-3.30316195183073e-15
0.5959596,-3.306092031523234e-15
0.6060605999999999,-3.309248733233517e-15
0.6161616,-3.312641706709788e-15
0.6262626,-3.316282913624706e-15
0.6363636,-3.320186463977851e-15
0.6464645999999999,-3.324368509055862e-15
0.6565657,-3.32884718737505e-15
0.6666666999999999,-3.333642617660117e-15
0.6767677,-3.338776932697935e-15
0.6868687,-3.344274348653312e-15
0.6969697,-3.350161265511687e-15
0.7070707000000001,-3.356466395413153e-15
0.7171717,-3.363220916630691e-15
0.7272727,-3.370458651779995e-15
0.7373737,-3.378216269527783e-15
0.7474747,-3.386533509605932e-15
0.7575758,-3.395453431360152e-15
0.7676768,-3.405022686382875e-15
0.7777778,-3.415291816015468e-15
0.7878788,-3.426315574664753e-15
0.7979798,-3.438153279968995e-15
0.8080808,-3.450869187928117e-15
0.8181818,-3.464532914600302e-15
0.8282828,-3.479219843461398e-15
0.8383838,-3.495011622066762e-15
0.8484848,-3.511996645392755e-15
0.8585859,-3.530270587559473e-15
0.8686869,-3.549936960686142e-15
0.8787879,-3.57110770243434e-15
0.8888889,-3.593903789930803e-15
0.8989899,-3.618455876622845e-15
0.9090909,-3.644904947231786e-15
0.9191919,-3.67340298430121e-15
0.9292929,-3.704113637855801e-15
0.9393939,-3.737212887363541e-15
0.9494949,-3.772889682506956e-15
0.959596,-3.811346546203219e-15
0.969697,-3.852800119870645e-15
0.9797979999999999,-3.897481627141209e-15
0.989899,-3.945637228116736e-15
1,-3.997528231946223e-15
