OP("/PM1" "cgd") X,OP("/PM1" "cgd") Y
0,-3.280309448729102e-15
0.01010101,-3.280352171985492e-15
0.02020202,-3.280394334022909e-15
0.03030303,-3.280435946490861e-15
0.04040404,-3.280477020564548e-15
0.05050505,-3.280517566910936e-15
0.06060606,-3.280557595637203e-15
0.07070707,-3.280597116215289e-15
0.08080808,-3.280636137373953e-15
0.09090909,-3.280674666946594e-15
0.1010101,-3.280712711658729e-15
0.1111111,-3.280750276833129e-15
0.1212121,-3.280787365982473e-15
0.1313131,-3.280823980248357e-15
0.1414141,-3.280860117630319e-15
0.1515152,-3.280895771927902e-15
0.1616162,-3.280930931290531e-15
0.1717172,-3.280965576231482e-15
0.1818182,-3.280999676909699e-15
0.1919192,-3.281033189411678e-15
0.2020202,-3.281066050668412e-15
0.2121212,-3.2810981715104e-15
0.2222222,-3.281129427185253e-15
0.2323232,-3.281159644421903e-15
0.2424242,-3.281188583803346e-15
0.2525253,-3.281215915781956e-15
0.2626263,-3.281241188109582e-15
0.2727273,-3.281263781729592e-15
0.2828283,-3.281282851266174e-15
0.2929293,-3.281297245145588e-15
0.3030303,-3.281305399145681e-15
0.3131313,-3.281305195958857e-15
0.3232323,-3.281293782558243e-15
0.3333333,-3.281267337578676e-15
0.3434343,-3.281220784081219e-15
0.3535354,-3.281147451632727e-15
0.3636364,-3.281038709926468e-15
0.3737374,-3.28088363043513e-15
0.3838384,-3.280668790104102e-15
0.3939394,-3.28037841626987e-15
0.4040404,-3.279995176301372e-15
0.4141414,-3.279501998636966e-15
0.4242424,-3.278885278974507e-15
0.4343434,-3.278139525477986e-15
0.4444444,-3.27727279989761e-15
0.4545455,-3.276311310507492e-15
0.4646465,-3.275300754773401e-15
0.4747475,-3.274302393242038e-15
0.4848485,-3.273383843876655e-15
0.4949495,-3.272607345366103e-15
0.5050505,-3.272019770778138e-15
0.5151515,-3.27164769473943e-15
0.5252525,-3.271498125561711e-15
0.5353535,-3.271563131165292e-15
0.5454545,-3.271825796904251e-15
0.5555556,-3.272265551506018e-15
0.5656566,-3.272861965444645e-15
0.5757576,-3.273596965818737e-15
0.5858586,-3.274455821998002e-15
0.5959596,-3.275427339866806e-15
0.6060605999999999,-3.276503626891729e-15
0.6161616,-3.277679673896174e-15
0.6262626,-3.278952898106082e-15
0.6363636,-3.280322721070432e-15
0.6464645999999999,-3.281790211649267e-15
0.6565657,-3.283357800529359e-15
0.6666666999999999,-3.285029061310177e-15
0.6767677,-3.28680854877964e-15
0.6868687,-3.288701684196987e-15
0.6969697,-3.290714678260954e-15
0.7070707000000001,-3.292854483910642e-15
0.7171717,-3.295128772660451e-15
0.7272727,-3.297545929578738e-15
0.7373737,-3.300115063203785e-15
0.7474747,-3.30284602764427e-15
0.7575758,-3.305749454859616e-15
0.7676768,-3.30883679569276e-15
0.7777778,-3.312120368668112e-15
0.7878788,-3.315613415900708e-15
0.7979798,-3.319330165713048e-15
0.8080808,-3.323285899979394e-15
0.8181818,-3.32749703846654e-15
0.8282828,-3.331981203151849e-15
0.8383838,-3.336757324346748e-15
0.8484848,-3.34184572702798e-15
0.8585859,-3.347268234580726e-15
0.8686869,-3.353048277774665e-15
0.8787879,-3.359211010892601e-15
0.8888889,-3.365783435136701e-15
0.8989899,-3.372794529387396e-15
0.9090909,-3.380275388319246e-15
0.9191919,-3.388259367783847e-15
0.9292929,-3.396782237249594e-15
0.9393939,-3.405882338938074e-15
0.9494949,-3.415600753113173e-15
0.959596,-3.425981468757501e-15
0.969697,-3.437071558606585e-15
0.9797979999999999,-3.4489213572e-15
0.989899,-3.461584640245328e-15
1,-3.475118803171352e-15
