OP("/PM0" "vth") X,OP("/PM0" "vth") Y
0,-0.4625015251073518
0.01010101,-0.4625015046898061
0.02020202,-0.4625014869951624
0.03030303,-0.462501471794047
0.04040404,-0.4625014588472948
0.05050505,-0.4625014479125129
0.06060606,-0.4625014387506096
0.07070707,-0.462501431131713
0.08080808,-0.462501424840097
0.09090909,-0.4625014196778232
0.1010101,-0.4625014154670026
0.1111111,-0.4625014120507367
0.1212121,-0.4625014092929197
0.1313131,-0.4625014070771485
0.1414141,-0.4625014053050422
0.1515152,-0.4625014038942439
0.1616162,-0.4625014027763282
0.1717172,-0.4625014018947543
0.1818182,-0.4625014012030318
0.1919192,-0.4625014006630693
0.2020202,-0.4625014002437964
0.2121212,-0.4625013999199643
0.2222222,-0.4625013996711669
0.2323232,-0.4625013994810007
0.2424242,-0.4625013993363744
0.2525253,-0.4625013992268966
0.2626263,-0.462501399144391
0.2727273,-0.4625013990824656
0.2828283,-0.4625013990361617
0.2929293,-0.4625013990016553
0.3030303,-0.4625013989760196
0.3131313,-0.4625013989570235
0.3232323,-0.4625013989429826
0.3333333,-0.4625013989326272
0.3434343,-0.4625013989250029
0.3535354,-0.4625013989193986
0.3636364,-0.4625013989152855
0.3737374,-0.4625013989122708
0.3838384,-0.4625013989100629
0.3939394,-0.4625013989084478
0.4040404,-0.4625013989072667
0.4141414,-0.4625013989064046
0.4242424,-0.4625013989057749
0.4343434,-0.462501398905315
0.4444444,-0.4625013989049803
0.4545455,-0.4625013989047352
0.4646465,-0.4625013989045578
0.4747475,-0.4625013989044279
0.4848485,-0.4625013989043334
0.4949495,-0.4625013989042645
0.5050505,-0.4625013989042141
0.5151515,-0.4625013989041775
0.5252525,-0.4625013989041514
0.5353535,-0.4625013989041319
0.5454545,-0.4625013989041178
0.5555556,-0.4625013989041076
0.5656566,-0.4625013989041001
0.5757576,-0.4625013989040946
0.5858586,-0.4625013989040908
0.5959596,-0.4625013989040879
0.6060605999999999,-0.4625013989040858
0.6161616,-0.4625013989040843
0.6262626,-0.4625013989040831
0.6363636,-0.4625013989040824
0.6464645999999999,-0.4625013989040817
0.6565657,-0.4625013989040812
0.6666666999999999,-0.462501398904081
0.6767677,-0.4625013989040808
0.6868687,-0.4625013989040807
0.6969697,-0.4625013989040806
0.7070707000000001,-0.4625013989040799
0.7171717,-0.4625013989040799
0.7272727,-0.4625013989040799
0.7373737,-0.4625013989040799
0.7474747,-0.4625013989040799
0.7575758,-0.4625013989040799
0.7676768,-0.4625013989040799
0.7777778,-0.4625013989040799
0.7878788,-0.4625013989040799
0.7979798,-0.4625013989040799
0.8080808,-0.4625013989040799
0.8181818,-0.4625013989040799
0.8282828,-0.4625013989040799
0.8383838,-0.4625013989040799
0.8484848,-0.4625013989040799
0.8585859,-0.4625013989040799
0.8686869,-0.4625013989040799
0.8787879,-0.4625013989040799
0.8888889,-0.4625013989040799
0.8989899,-0.4625013989040799
0.9090909,-0.4625013989040799
0.9191919,-0.4625013989040799
0.9292929,-0.4625013989040799
0.9393939,-0.4625013989040799
0.9494949,-0.4625013989040799
0.959596,-0.4625013989040799
0.969697,-0.4625013989040799
0.9797979999999999,-0.4625013989040799
0.989899,-0.4625013989040799
1,-0.4625013989040799
