OP("/NM0" "vth") X,OP("/NM0" "vth") Y
0,0.4948084678544925
0.01010101,0.49480846785465
0.02020202,0.4948084678548648
0.03030303,0.4948084678551578
0.04040404,0.4948084678555572
0.05050505,0.494808467856102
0.06060606,0.4948084678568445
0.07070707,0.4948084678578564
0.08080808,0.494808467859235
0.09090909,0.4948084678611125
0.1010101,0.4948084678636688
0.1111111,0.4948084678671464
0.1212121,0.4948084678718764
0.1313131,0.4948084678783049
0.1414141,0.494808467887035
0.1515152,0.4948084678988814
0.1616162,0.4948084679149387
0.1717172,0.4948084679366815
0.1818182,0.4948084679660848
0.1919192,0.4948084680057844
0.2020202,0.4948084680592955
0.2121212,0.4948084681312837
0.2222222,0.4948084682279151
0.2323232,0.4948084683572974
0.2424242,0.4948084685300534
0.2525253,0.4948084687600005
0.2626263,0.4948084690650145
0.2727273,0.4948084694680778
0.2828283,0.4948084699985099
0.2929293,0.4948084706934787
0.3030303,0.4948084715997423
0.3131313,0.494808472775717
0.3232323,0.4948084742938899
0.3333333,0.4948084762436521
0.3434343,0.4948084787346426
0.3535354,0.4948084819006993
0.3636364,0.4948084859045501
0.3737374,0.4948084909433617
0.3838384,0.4948084972552113
0.3939394,0.4948085051264717
0.4040404,0.4948085148999674
0.4141414,0.4948085269835141
0.4242424,0.4948085418583175
0.4343434,0.4948085600863691
0.4444444,0.4948085823158329
0.4545455,0.4948086092833084
0.4646465,0.4948086418118524
0.4747475,0.4948086808038508
0.4848485,0.4948087272282492
0.4949495,0.4948087821021858
0.5050505,0.4948088464677532
0.5151515,0.4948089213652893
0.5252525,0.494809007805059
0.5353535,0.4948091067395238
0.5454545,0.4948092190383261
0.5555556,0.4948093454678116
0.5656566,0.4948094866763135
0.5757576,0.4948096431857659
0.5858586,0.4948098153895695
0.5959596,0.4948100035559697
0.6060605999999999,0.4948102078359836
0.6161616,0.494810428274555
0.6262626,0.4948106648237198
0.6363636,0.4948109173566447
0.6464645999999999,0.4948111856815897
0.6565657,0.4948114695550891
0.6666666999999999,0.4948117686939151
0.6767677,0.4948120827855
0.6868687,0.4948124114967881
0.6969697,0.4948127544814723
0.7070707000000001,0.494813111385769
0.7171717,0.4948134818528545
0.7272727,0.4948138655261488
0.7373737,0.4948142620516413
0.7474747,0.4948146710793957
0.7575758,0.4948150922644196
0.7676768,0.4948155252670379
0.7777778,0.4948159697528409
0.7878788,0.4948164253923641
0.7979798,0.4948168918605308
0.8080808,0.4948173688359341
0.8181818,0.4948178560000074
0.8282828,0.4948183530361105
0.8383838,0.4948188596285661
0.8484848,0.4948193754616643
0.8585859,0.4948199002186338
0.8686869,0.4948204335806239
0.8787879,0.4948209752256699
0.8888889,0.4948215248276778
0.8989899,0.4948220820554161
0.9090909,0.4948226465715604
0.9191919,0.4948232180317715
0.9292929,0.494823796083852
0.9393939,0.4948243803670039
0.9494949,0.4948249705112314
0.959596,0.4948255661369191
0.969697,0.4948261668546375
0.9797979999999999,0.4948267722652467
0.989899,0.4948273819603296
1,0.4948279955230107
