OP("/PM2" "vth") X,OP("/PM2" "vth") Y
0,-0.5280972663515978
0.01010101,-0.5280972208694097
0.02020202,-0.5280971833066229
0.03030303,-0.528097152481862
0.04040404,-0.5280971273336521
0.05050505,-0.5280971069259902
0.06060606,-0.5280970904469986
0.07070707,-0.5280970772022788
0.08080808,-0.528097066604805
0.09090909,-0.52809705816298
0.1010101,-0.528097051468184
0.1111111,-0.5280970461827962
0.1212121,-0.5280970420292248
0.1313131,-0.5280970387802578
0.1414141,-0.5280970362507287
0.1515152,-0.5280970342904383
0.1616162,-0.5280970327781687
0.1717172,-0.5280970316166366
0.1818182,-0.5280970307282175
0.1919192,-0.5280970300513664
0.2020202,-0.5280970295375933
0.2121212,-0.5280970291489196
0.2222222,-0.5280970288557952
0.2323232,-0.5280970286353462
0.2424242,-0.5280970284699711
0.2525253,-0.5280970283461905
0.2626263,-0.5280970282537263
0.2727273,-0.52809702818478
0.2828283,-0.5280970281334493
0.2929293,-0.5280970280952855
0.3030303,-0.5280970280669438
0.3131313,-0.5280970280459192
0.3232323,-0.528097028030337
0.3333333,-0.528097028018799
0.3434343,-0.5280970280102575
0.3535354,-0.5280970280039426
0.3636364,-0.5280970279992734
0.3737374,-0.5280970279958229
0.3838384,-0.5280970279932745
0.3939394,-0.5280970279913931
0.4040404,-0.5280970279900039
0.4141414,-0.5280970279889792
0.4242424,-0.5280970279882227
0.4343434,-0.5280970279876651
0.4444444,-0.5280970279872533
0.4545455,-0.5280970279869497
0.4646465,-0.5280970279867256
0.4747475,-0.5280970279865612
0.4848485,-0.5280970279864395
0.4949495,-0.5280970279863499
0.5050505,-0.5280970279862838
0.5151515,-0.5280970279862351
0.5252525,-0.5280970279861992
0.5353535,-0.5280970279861725
0.5454545,-0.5280970279861531
0.5555556,-0.5280970279861388
0.5656566,-0.5280970279861282
0.5757576,-0.5280970279861199
0.5858586,-0.5280970279861146
0.5959596,-0.5280970279861105
0.6060605999999999,-0.5280970279861071
0.6161616,-0.528097027986105
0.6262626,-0.5280970279861034
0.6363636,-0.528097027986102
0.6464645999999999,-0.5280970279861007
0.6565657,-0.5280970279861004
0.6666666999999999,-0.5280970279860995
0.6767677,-0.5280970279860995
0.6868687,-0.5280970279860993
0.6969697,-0.5280970279860991
0.7070707000000001,-0.5280970279860989
0.7171717,-0.5280970279860983
0.7272727,-0.5280970279860983
0.7373737,-0.5280970279860983
0.7474747,-0.5280970279860983
0.7575758,-0.5280970279860983
0.7676768,-0.5280970279860983
0.7777778,-0.5280970279860983
0.7878788,-0.5280970279860983
0.7979798,-0.5280970279860983
0.8080808,-0.5280970279860983
0.8181818,-0.5280970279860983
0.8282828,-0.5280970279860983
0.8383838,-0.5280970279860983
0.8484848,-0.5280970279860983
0.8585859,-0.5280970279860983
0.8686869,-0.5280970279860983
0.8787879,-0.5280970279860983
0.8888889,-0.5280970279860983
0.8989899,-0.5280970279860983
0.9090909,-0.5280970279860983
0.9191919,-0.5280970279860983
0.9292929,-0.5280970279860983
0.9393939,-0.5280970279860983
0.9494949,-0.5280970279860983
0.959596,-0.5280970279860983
0.969697,-0.5280970279860983
0.9797979999999999,-0.5280970279860983
0.989899,-0.5280970279860983
1,-0.5280970279860983
