OP("/PM0" "gds") X,OP("/PM0" "gds") Y
0,2.351834906558454e-07
0.01010101,2.013239355216911e-07
0.02020202,1.712559536903004e-07
0.03030303,1.447476641149169e-07
0.04040404,1.215543699930307e-07
0.05050505,1.014197746965785e-07
0.06060606,8.407890634471782e-08
0.07070707,6.926243548710785e-08
0.08080808,5.670188181443821e-08
0.09090909,4.613510038123115e-08
0.1010101,3.731143950381406e-08
0.1111111,2.999606732659671e-08
0.1212121,2.397314198490297e-08
0.1313131,1.904770579004183e-08
0.1414141,1.504637060858718e-08
0.1515152,1.181699559594968e-08
0.1616162,9.227625115427494e-09
0.1717172,7.164958787063462e-09
0.1818182,5.532585352566937e-09
0.1919192,4.249150562205104e-09
0.2020202,3.246567007047308e-09
0.2121212,2.468323799215971e-09
0.2222222,1.867921019767704e-09
0.2323232,1.407436306850458e-09
0.2424242,1.056224003047786e-09
0.2525253,7.897456904120744e-10
0.2626263,5.885308252349046e-10
0.2727273,4.372655029174731e-10
0.2828283,3.240056255177391e-10
0.2929293,2.395082801787231e-10
0.3030303,1.76672616809884e-10
0.3131313,1.300794912275147e-10
0.3232323,9.56179178713899e-11
0.3333333,7.018600894716339e-11
0.3434343,5.145444743580316e-11
0.3535354,3.768144960423314e-11
0.3636364,2.756940450773467e-11
0.3737374,2.015474789968095e-11
0.3838384,1.472399660521627e-11
0.3939394,1.075014527435018e-11
0.4040404,7.844759780784485e-12
0.4141414,5.722070204318854e-12
0.4242424,4.172171665066097e-12
0.4343434,3.041095802732286e-12
0.4444444,2.216038007196666e-12
0.4545455,1.614436128876243e-12
0.4646465,1.175915259493255e-12
0.4747475,8.563582624360175e-13
0.4848485,6.235485159162488e-13
0.4949495,4.539726687451301e-13
0.5050505,3.304775160153313e-13
0.5151515,2.405546588369219e-13
0.5252525,1.750858964002391e-13
0.5353535,1.274263168447967e-13
0.5454545,9.273463703684987e-14
0.5555556,6.748439835869831e-14
0.5656566,4.910734828714193e-14
0.5757576,3.573336938988618e-14
0.5858586,2.600088477579976e-14
0.5959596,1.891868353258853e-14
0.6060605999999999,1.376524657685748e-14
0.6161616,1.001541154555692e-14
0.6262626,7.286962612655895e-15
0.6363636,5.301737944103316e-15
0.6464645999999999,3.857312578362588e-15
0.6565657,2.806383539902879e-15
0.6666666999999999,2.041763683517806e-15
0.6767677,1.485459222121762e-15
0.6868687,1.08072020719906e-15
0.6969697,7.862551222049188e-16
0.7070707000000001,5.720206709901823e-16
0.7171717,4.161580204847914e-16
0.7272727,3.027634002897529e-16
0.7373737,2.202658908774031e-16
0.7474747,1.602470626080762e-16
0.7575758,1.165821366930119e-16
0.7676768,8.481510053104363e-17
0.7777778,6.170405437312565e-17
0.7878788,4.48904197156127e-17
0.7979798,3.265826867313155e-17
0.8080808,2.37592236378231e-17
0.8181818,1.72850638810252e-17
0.8282828,1.257504183910812e-17
0.8383838,9.148452508588019e-18
0.8484848,6.655575639386281e-18
0.8585859,4.841984855285059e-18
0.8686869,3.522581699832269e-18
0.8787879,2.562704843790357e-18
0.8888889,1.864386681716055e-18
0.8989899,1.356354765142198e-18
0.9090909,9.867576929182239e-19
0.9191919,7.178730904743957e-19
0.9292929,5.22257598413451e-19
0.9393939,3.799459413545266e-19
0.9494949,2.764132187999172e-19
0.959596,2.010924520615519e-19
0.969697,1.462960834770042e-19
0.9797979999999999,1.064313578027302e-19
0.989899,7.742950490635719e-20
1,5.633046581829622e-20
