OP("/NM0" "gds") X,OP("/NM0" "gds") Y
0,1.349154016313799e-12
0.01010101,1.841001293742812e-12
0.02020202,2.511931984428279e-12
0.03030303,3.427018140650158e-12
0.04040404,4.674897934876873e-12
0.05050505,6.376263886442807e-12
0.06060606,8.695381195476326e-12
0.07070707,1.185570190964693e-11
0.08080808,1.616100618097152e-11
0.09090909,2.202398738611144e-11
0.1010101,3.000483965859764e-11
0.1111111,4.086324985764665e-11
0.1212121,5.562829703974888e-11
0.1313131,7.569218811623763e-11
0.1414141,1.029355863431893e-10
0.1515152,1.398946057429167e-10
0.1616162,1.899824383556883e-10
0.1717172,2.577821332968409e-10
0.1818182,3.494313122742258e-10
0.1919192,4.7312458832794e-10
0.2020202,6.397650656935378e-10
0.2121212,8.638023128216793e-10
0.2222222,1.164300197780091e-09
0.2323232,1.566283289867374e-09
0.2424242,2.102414223160485e-09
0.2525253,2.815055297410931e-09
0.2626263,3.758764339129069e-09
0.2727273,5.003266261513398e-09
0.2828283,6.636927166357313e-09
0.2929293,8.770737566345586e-09
0.3030303,1.154278719724919e-08
0.3131313,1.512318939767182e-08
0.3232323,1.971939275679864e-08
0.3333333,2.55818059696821e-08
0.3434343,3.300966028515356e-08
0.3535354,4.23570391172892e-08
0.3636364,5.403900626681085e-08
0.3737374,6.853774748743007e-08
0.3838384,8.640858955800001e-08
0.3939394,1.082856697479136e-07
0.4040404,1.348869068385689e-07
0.4141414,1.670178042153902e-07
0.4242424,2.055735443982505e-07
0.4343434,2.515388641904796e-07
0.4444444,3.059853653383564e-07
0.4545455,3.700662179582997e-07
0.4646465,4.450086117892376e-07
0.4747475,5.321047270310474e-07
0.4848485,6.327023401126337e-07
0.4949495,7.481963690131055e-07
0.5050505,8.800226510647885e-07
0.5151515,1.029655034457411e-06
0.5252525,1.198606500262891e-06
0.5353535,1.38843459391626e-06
0.5454545,1.600751022460723e-06
0.5555556,1.837234941889569e-06
0.5656566,2.099649263201221e-06
0.5757576,2.389859256193599e-06
0.5858586,2.709852805448872e-06
0.5959596,3.061761833262591e-06
0.6060605999999999,3.447884604278413e-06
0.6161616,3.870708827543557e-06
0.6262626,4.332935647504372e-06
0.6363636,4.837504753861773e-06
0.6464645999999999,5.387620940212641e-06
0.6565657,5.986782509200693e-06
0.6666666999999999,6.638811966807137e-06
0.6767677,7.347889479902221e-06
0.6868687,8.118589597084152e-06
0.6969697,8.95592175872222e-06
0.7070707000000001,9.86537515118272e-06
0.7171717,1.085296849364538e-05
0.7272727,1.192530538318443e-05
0.7373737,1.308963586290785e-05
0.7474747,1.435392491556607e-05
0.7575758,1.572692861618959e-05
0.7676768,1.721827869519827e-05
0.7777778,1.883857625872455e-05
0.7878788,2.059949537306788e-05
0.7979798,2.25138971285934e-05
0.8080808,2.459595463296289e-05
0.8181818,2.686128911584328e-05
0.8282828,2.932711692085489e-05
0.8383838,3.201240657036159e-05
0.8484848,3.493804426035283e-05
0.8585859,3.812700501312646e-05
0.8686869,4.160452521590367e-05
0.8787879,4.539827033545215e-05
0.8888889,4.95384891650885e-05
0.8989899,5.405814300357398e-05
0.9090909,5.899299471420077e-05
0.9191919,6.438163878926327e-05
0.9292929,7.026544961210561e-05
0.9393939,7.668842151872864e-05
0.9494949,8.369687170062346e-05
0.959596,9.133897639981522e-05
0.969697,9.966411338103445e-05
0.9797979999999999,0.0001087219905680771
0.989899,0.0001185615530873957
1,0.0001292296793259746
