OP("/NM0" "cgs") X,OP("/NM0" "cgs") Y
0,-3.530908653664014e-15
0.01010101,-3.531743708662724e-15
0.02020202,-3.532567169484818e-15
0.03030303,-3.533379822440198e-15
0.04040404,-3.534182613412605e-15
0.05050505,-3.534976710912312e-15
0.06060606,-3.535763592086601e-15
0.07070707,-3.536545160120777e-15
0.08080808,-3.537323904554792e-15
0.09090909,-3.538103120266388e-15
0.1010101,-3.538887206646428e-15
0.1111111,-3.539682076382396e-15
0.1212121,-3.540495714046927e-15
0.1313131,-3.541338939416597e-15
0.1414141,-3.542226450564772e-15
0.1515152,-3.543178249249616e-15
0.1616162,-3.544221588637279e-15
0.1717172,-3.545393634615843e-15
0.1818182,-3.546745101839744e-15
0.1919192,-3.548345220952317e-15
0.2020202,-3.550288523320097e-15
0.2121212,-3.552704106448633e-15
0.2222222,-3.555768283684829e-15
0.2323232,-3.559721848116725e-15
0.2424242,-3.564893622309399e-15
0.2525253,-3.571732561401732e-15
0.2626263,-3.58085147702483e-15
0.2727273,-3.593086516041365e-15
0.2828283,-3.609577936342445e-15
0.2929293,-3.631879555421606e-15
0.3030303,-3.662106585452759e-15
0.3131313,-3.703134456129904e-15
0.3232323,-3.758864611235779e-15
0.3333333,-3.834576873635536e-15
0.3434343,-3.937391083165446e-15
0.3535354,-4.076861746987683e-15
0.3636364,-4.265725308194137e-15
0.3737374,-4.520804718696405e-15
0.3838384,-4.864040868785818e-15
0.3939394,-5.323550761298886e-15
0.4040404,-5.934489639083405e-15
0.4141414,-6.739302219430893e-15
0.4242424,-7.78669125604763e-15
0.4343434,-9.128374475621336e-15
0.4444444,-1.08126261034877e-14
0.4545455,-1.287404253610465e-14
0.4646465,-1.53203202405438e-14
0.4747475,-1.811913516808202e-14
0.4848485,-2.119055982511235e-14
0.4949495,-2.441081462549919e-14
0.5050505,-2.762966799891447e-14
0.5151515,-3.069726940839505e-14
0.5252525,-3.349083301749276e-14
0.5353535,-3.593168047186322e-14
0.5454545,-3.798862199421315e-14
0.5555556,-3.967014322212371e-14
0.5656566,-4.101122980403341e-14
0.5757576,-4.206021251153897e-14
0.5858586,-4.286864702675553e-14
0.5959596,-4.348496315916021e-14
0.6060605999999999,-4.39513001526484e-14
0.6161616,-4.430252226706625e-14
0.6262626,-4.456649276092631e-14
0.6363636,-4.476494314568757e-14
0.6464645999999999,-4.491452986391627e-14
0.6565657,-4.502786027864648e-14
0.6666666999999999,-4.511439060114411e-14
0.6767677,-4.518116672258302e-14
0.6868687,-4.52334132470511e-14
0.6969697,-4.527499050467695e-14
0.7070707000000001,-4.530874324283969e-14
0.7171717,-4.533676357005e-14
0.7272727,-4.536058759476244e-14
0.7373737,-4.538134160091386e-14
0.7474747,-4.539985023755585e-14
0.7575758,-4.54167163353012e-14
0.7676768,-4.543237964551353e-14
0.7777778,-4.544715998267349e-14
0.7878788,-4.546128885660555e-14
0.7979798,-4.547493262601565e-14
0.8080808,-4.548820941348273e-14
0.8181818,-4.550120143264992e-14
0.8282828,-4.551396394145823e-14
0.8383838,-4.552653171253183e-14
0.8484848,-4.553892367403105e-14
0.8585859,-4.555114619943654e-14
0.8686869,-4.556319539637291e-14
0.8787879,-4.557505865052812e-14
0.8888889,-4.558671561196055e-14
0.8989899,-4.559813876098329e-14
0.9090909,-4.560929365450904e-14
0.9191919,-4.562013892768297e-14
0.9292929,-4.563062610723682e-14
0.9393939,-4.564069928039398e-14
0.9494949,-4.565029465498521e-14
0.959596,-4.565934004171778e-14
0.969697,-4.566775428755804e-14
0.9797979999999999,-4.567544668939574e-14
0.989899,-4.568231641911873e-14
1,-4.568825199454472e-14
