OP("/PM2" "cgs") X,OP("/PM2" "cgs") Y
0,-3.323315856310813e-15
0.01010101,-3.3231552127743e-15
0.02020202,-3.322997069942651e-15
0.03030303,-3.322841428322143e-15
0.04040404,-3.322688310299514e-15
0.05050505,-3.322537767287986e-15
0.06060606,-3.322389889465029e-15
0.07070707,-3.322244819030011e-15
0.08080808,-3.322102768242552e-15
0.09090909,-3.321964043954467e-15
0.1010101,-3.321829080962026e-15
0.1111111,-3.321698487339179e-15
0.1212121,-3.321573106044793e-15
0.1313131,-3.321454098635039e-15
0.1414141,-3.321343059000593e-15
0.1515152,-3.321242167884472e-15
0.1616162,-3.321154402786903e-15
0.1717172,-3.321083823091133e-15
0.1818182,-3.321035957339362e-15
0.1919192,-3.32101832921607e-15
0.2020202,-3.321041171857277e-15
0.2121212,-3.321118397814793e-15
0.2222222,-3.321268916006093e-15
0.2323232,-3.32151841948233e-15
0.2424242,-3.321901811813646e-15
0.2525253,-3.32246649928195e-15
0.2626263,-3.323276856142032e-15
0.2727273,-3.32442027787608e-15
0.2828283,-3.326015381603763e-15
0.2929293,-3.32822310506448e-15
0.3030303,-3.331261710032047e-15
0.3131313,-3.335427029403226e-15
0.3232323,-3.341119727731215e-15
0.3333333,-3.348881889196647e-15
0.3434343,-3.359445912709544e-15
0.3535354,-3.3737994655475e-15
0.3636364,-3.393271058113159e-15
0.3737374,-3.41964148470383e-15
0.3838384,-3.4552865706531e-15
0.3939394,-3.503355684111946e-15
0.4040404,-3.567987074498243e-15
0.4141414,-3.654553236221552e-15
0.4242424,-3.7699140695037e-15
0.4343434,-3.922628616956311e-15
0.4444444,-4.123033932806879e-15
0.4545455,-4.383042596550457e-15
0.4646465,-4.71545086908419e-15
0.4747475,-5.132523803600392e-15
0.4848485,-5.643700979727317e-15
0.4949495,-6.252533555496365e-15
0.5050505,-6.953452212863357e-15
0.5151515,-7.729525981927417e-15
0.5252525,-8.552598679238239e-15
0.5353535,-9.386622100065457e-15
0.5454545,-1.019363374761434e-14
0.5555556,-1.094041844554896e-14
0.5656566,-1.160349948411669e-14
0.5757576,-1.217104718994681e-14
0.5858586,-1.264181986373807e-14
0.5959596,-1.302231997867542e-14
0.6060605999999999,-1.332352702814377e-14
0.6161616,-1.355813297341271e-14
0.6262626,-1.373864202187188e-14
0.6363636,-1.38763004249951e-14
0.6464645999999999,-1.39806478538864e-14
0.6565657,-1.405946025566205e-14
0.6666666999999999,-1.411890110760523e-14
0.6767677,-1.416375913581394e-14
0.6868687,-1.419770165068818e-14
0.6969697,-1.422350784821191e-14
0.7070707000000001,-1.424326780478085e-14
0.7171717,-1.425854453894895e-14
0.7272727,-1.427050209359638e-14
0.7373737,-1.42800047277244e-14
0.7474747,-1.428769265726991e-14
0.7575758,-1.429403931426863e-14
0.7676768,-1.429939432553562e-14
0.7777778,-1.430401560621321e-14
0.7878788,-1.430809323526198e-14
0.7979798,-1.431176716863507e-14
0.8080808,-1.431514035801979e-14
0.8181818,-1.431828842785914e-14
0.8282828,-1.43212668736259e-14
0.8383838,-1.432411630731907e-14
0.8484848,-1.432686637232116e-14
0.8585859,-1.432953861084236e-14
0.8686869,-1.433214857898067e-14
0.8787879,-1.433470740402722e-14
0.8888889,-1.433722293051161e-14
0.8989899,-1.433970056306827e-14
0.9090909,-1.434214388582165e-14
0.9191919,-1.434455511703482e-14
0.9292929,-1.43469354423081e-14
0.9393939,-1.43492852582161e-14
0.9494949,-1.435160434986937e-14
0.959596,-1.435389201969498e-14
0.969697,-1.435614718016847e-14
0.9797979999999999,-1.435836841986877e-14
0.989899,-1.436055404975175e-14
1,-1.436270213471539e-14
