OP("/PM1" "cgs") X,OP("/PM1" "cgs") Y
0,-1.849716853134284e-14
0.01010101,-1.701796321462313e-14
0.02020202,-1.540509002139167e-14
0.03030303,-1.372548395291288e-14
0.04040404,-1.205815722747482e-14
0.05050505,-1.047991936957591e-14
0.06060606,-9.051912296541316e-15
0.07070707,-7.811651249238542e-15
0.08080808,-6.77218529919672e-15
0.09090909,-5.926734819306306e-15
0.1010101,-5.255696951800101e-15
0.1111111,-4.733348963305388e-15
0.1212121,-4.332857861331157e-15
0.1313131,-4.029337971949791e-15
0.1414141,-3.801313655470153e-15
0.1515152,-3.63111655422739e-15
0.1616162,-3.504682293155086e-15
0.1717172,-3.411073079788501e-15
0.1818182,-3.341923197048647e-15
0.1919192,-3.290910581721237e-15
0.2020202,-3.253299008778254e-15
0.2121212,-3.225562701336278e-15
0.2222222,-3.205089067452406e-15
0.2323232,-3.189948701621519e-15
0.2424242,-3.17872024268002e-15
0.2525253,-3.170358484688096e-15
0.2626263,-3.16409584309433e-15
0.2727273,-3.159369157494504e-15
0.2828283,-3.155765538459662e-15
0.2929293,-3.152982422548335e-15
0.3030303,-3.150798171370303e-15
0.3131313,-3.149050465603028e-15
0.3232323,-3.14762044566768e-15
0.3333333,-3.146421080473796e-15
0.3434343,-3.145388642366568e-15
0.3535354,-3.144476461627895e-15
0.3636364,-3.143650352554676e-15
0.3737374,-3.142885264576013e-15
0.3838384,-3.142162830770051e-15
0.3939394,-3.141469573557917e-15
0.4040404,-3.140795591540762e-15
0.4141414,-3.14013359853485e-15
0.4242424,-3.1394782203804e-15
0.4343434,-3.138825480394289e-15
0.4444444,-3.138172422863913e-15
0.4545455,-3.137516837545912e-15
0.4646465,-3.136857058065551e-15
0.4747475,-3.136191814382666e-15
0.4848485,-3.135520124810934e-15
0.4949495,-3.134841216971394e-15
0.5050505,-3.134154469910519e-15
0.5151515,-3.133459371698229e-15
0.5252525,-3.132755488346989e-15
0.5353535,-3.132042441009197e-15
0.5454545,-3.131319889226782e-15
0.5555556,-3.130587518604501e-15
0.5656566,-3.129845031715323e-15
0.5757576,-3.129092141366282e-15
0.5858586,-3.128328565586829e-15
0.5959596,-3.127554023873032e-15
0.6060605999999999,-3.126768234346006e-15
0.6161616,-3.125970911574445e-15
0.6262626,-3.125161764878258e-15
0.6363636,-3.124340496979043e-15
0.6464645999999999,-3.123506802899081e-15
0.6565657,-3.122660369036655e-15
0.6666666999999999,-3.12180087236458e-15
0.6767677,-3.120927979712913e-15
0.6868687,-3.120041347106917e-15
0.6969697,-3.119140619138833e-15
0.7070707000000001,-3.118225428357516e-15
0.7171717,-3.117295394663862e-15
0.7272727,-3.116350124702885e-15
0.7373737,-3.115389211245413e-15
0.7474747,-3.114412232553869e-15
0.7575758,-3.11341875172764e-15
0.7676768,-3.112408316024547e-15
0.7777778,-3.111380456155182e-15
0.7878788,-3.110334685547573e-15
0.7979798,-3.109270499579733e-15
0.8080808,-3.108187374778024e-15
0.8181818,-3.107084767979263e-15
0.8282828,-3.105962115454679e-15
0.8383838,-3.104818831994036e-15
0.8484848,-3.103654309948068e-15
0.8585859,-3.102467918227702e-15
0.8686869,-3.101259001258498e-15
0.8787879,-3.100026877888866e-15
0.8888889,-3.098770840250766e-15
0.8989899,-3.097490152571744e-15
0.9090909,-3.096184049937371e-15
0.9191919,-3.094851737003372e-15
0.9292929,-3.093492386657104e-15
0.9393939,-3.092105138616854e-15
0.9494949,-3.090689098041385e-15
0.959596,-3.089243333962348e-15
0.969697,-3.087766877805331e-15
0.9797979999999999,-3.086258721793154e-15
0.989899,-3.08471781732348e-15
1,-3.083143073309762e-15
