OP("/PM0" "cdd") X,OP("/PM0" "cdd") Y
0,1.463104547789713e-14
0.01010101,1.463104547970171e-14
0.02020202,1.463104548218221e-14
0.03030303,1.463104548559179e-14
0.04040404,1.463104549027847e-14
0.05050505,1.463104549672057e-14
0.06060606,1.463104550557561e-14
0.07070707,1.463104551774736e-14
0.08080808,1.46310455344781e-14
0.09090909,1.463104555747544e-14
0.1010101,1.463104558908652e-14
0.1111111,1.463104563253761e-14
0.1212121,1.463104569226334e-14
0.1313131,1.463104577435926e-14
0.1414141,1.463104588720382e-14
0.1515152,1.463104604231328e-14
0.1616162,1.463104625551667e-14
0.1717172,1.46310465485705e-14
0.1818182,1.463104695137779e-14
0.1919192,1.463104750503711e-14
0.2020202,1.46310482660318e-14
0.2121212,1.463104931198459e-14
0.2222222,1.463105074956069e-14
0.2323232,1.463105272531823e-14
0.2424242,1.46310554405982e-14
0.2525253,1.463105917194575e-14
0.2626263,1.463106429909391e-14
0.2727273,1.463107134326611e-14
0.2828283,1.46310810195194e-14
0.2929293,1.463109430811848e-14
0.3030303,1.46311125515661e-14
0.3131313,1.463113758596124e-14
0.3232323,1.463117191780139e-14
0.3333333,1.463121896003783e-14
0.3434343,1.463128334370567e-14
0.3535354,1.463137132283684e-14
0.3636364,1.463149128879625e-14
0.3737374,1.463165440248375e-14
0.3838384,1.463187533412274e-14
0.3939394,1.463217306427091e-14
0.4040404,1.463257164062151e-14
0.4141414,1.46331007040949e-14
0.4242424,1.463379551297756e-14
0.4343434,1.463469615301303e-14
0.4444444,1.463584569965155e-14
0.4545455,1.463728736037147e-14
0.4646465,1.46390610420004e-14
0.4747475,1.464120017591658e-14
0.4848485,1.464372971994676e-14
0.4949495,1.464666589925749e-14
0.5050505,1.465001761675391e-14
0.5151515,1.465378892618272e-14
0.5252525,1.465798178453128e-14
0.5353535,1.466259846980709e-14
0.5454545,1.466764336592073e-14
0.5555556,1.46731240894048e-14
0.5656566,1.467905208488576e-14
0.5757576,1.468544286046011e-14
0.5858586,1.469231601620404e-14
0.5959596,1.469969517883333e-14
0.6060605999999999,1.470760791569545e-14
0.6161616,1.471608567050751e-14
0.6262626,1.472516374258557e-14
0.6363636,1.473488131878655e-14
0.6464645999999999,1.474528156050867e-14
0.6565657,1.475641174478115e-14
0.6666666999999999,1.476832345724106e-14
0.6767677,1.478107283469306e-14
0.6868687,1.479472085540432e-14
0.6969697,1.480933367597679e-14
0.7070707000000001,1.482498301438687e-14
0.7171717,1.484174657950196e-14
0.7272727,1.485970854803389e-14
0.7373737,1.487896009045648e-14
0.7474747,1.489959994789644e-14
0.7575758,1.492173506240189e-14
0.7676768,1.494548126330391e-14
0.7777778,1.497096401260996e-14
0.7878788,1.499831921249916e-14
0.7979798,1.502769407801757e-14
0.8080808,1.505924806256774e-14
0.8181818,1.509315394687726e-14
0.8282828,1.512959877012702e-14
0.8383838,1.516878514455746e-14
0.8484848,1.521093241501608e-14
0.8585859,1.525627798703011e-14
0.8686869,1.530507871393638e-14
0.8787879,1.535761235508354e-14
0.8888889,1.541417909940967e-14
0.8989899,1.547510314586409e-14
0.9090909,1.554073432869328e-14
0.9191919,1.56114497714659e-14
0.9292929,1.568765554879303e-14
0.9393939,1.576978832893316e-14
0.9494949,1.585831696380258e-14
0.959596,1.595374398530248e-14
0.969697,1.605660695833218e-14
0.9797979999999999,1.616747963143317e-14
0.989899,1.628697281582947e-14
1,1.641573491290987e-14
