OP("/PM1" "cdd") X,OP("/PM1" "cdd") Y
0,1.463685191213484e-14
0.01010101,1.463685191303243e-14
0.02020202,1.463685191425799e-14
0.03030303,1.463685191593133e-14
0.04040404,1.463685191821607e-14
0.05050505,1.46368519213356e-14
0.06060606,1.463685192559493e-14
0.07070707,1.46368519314105e-14
0.08080808,1.463685193935093e-14
0.09090909,1.463685195019256e-14
0.1010101,1.463685196499539e-14
0.1111111,1.463685198520671e-14
0.1212121,1.463685201280253e-14
0.1313131,1.463685205048084e-14
0.1414141,1.463685210192523e-14
0.1515152,1.463685217216499e-14
0.1616162,1.463685226806657e-14
0.1717172,1.463685239900463e-14
0.1818182,1.463685257777779e-14
0.1919192,1.463685282185879e-14
0.2020202,1.46368531551005e-14
0.2121212,1.463685361006383e-14
0.2222222,1.463685423119352e-14
0.2323232,1.463685507914958e-14
0.2424242,1.463685623671216e-14
0.2525253,1.463685781682763e-14
0.2626263,1.463685997356393e-14
0.2727273,1.463686291701269e-14
0.2828283,1.463686693353197e-14
0.2929293,1.46368724131931e-14
0.3030303,1.463687988690022e-14
0.3131313,1.463689007641613e-14
0.3232323,1.463690396145758e-14
0.3333333,1.463692286908803e-14
0.3434343,1.463694859172475e-14
0.3535354,1.463698354092988e-14
0.3636364,1.463703094424378e-14
0.3737374,1.463709509068641e-14
0.3838384,1.463718162563467e-14
0.3939394,1.463729788532765e-14
0.4040404,1.463745324264362e-14
0.4141414,1.463765940735533e-14
0.4242424,1.463793058804525e-14
0.4343434,1.463828339011973e-14
0.4444444,1.463873631834735e-14
0.4545455,1.463930880521817e-14
0.4646465,1.464001981852537e-14
0.4747475,1.464088628701118e-14
0.4848485,1.46419217318376e-14
0.4949495,1.464313549259507e-14
0.5050505,1.464453275144408e-14
0.5151515,1.464611527906518e-14
0.5252525,1.464788260945485e-14
0.5353535,1.464983329571117e-14
0.5454545,1.4651965986135e-14
0.5555556,1.465428020075699e-14
0.5656566,1.465677680549015e-14
0.5757576,1.465945824469615e-14
0.5858586,1.466232861023577e-14
0.5959596,1.466539361601794e-14
0.6060605999999999,1.466866052870714e-14
0.6161616,1.467213808726751e-14
0.6262626,1.467583643012904e-14
0.6363636,1.467976703939103e-14
0.6464645999999999,1.468394270576514e-14
0.6565657,1.468837751479741e-14
0.6666666999999999,1.4693086853362e-14
0.6767677,1.469808743482216e-14
0.6868687,1.470339734117428e-14
0.6969697,1.47090360806679e-14
0.7070707000000001,1.471502465967762e-14
0.7171717,1.472138566791304e-14
0.7272727,1.472814337634937e-14
0.7373737,1.473532384752753e-14
0.7474747,1.474295505810373e-14
0.7575758,1.475106703372393e-14
0.7676768,1.47596919964636e-14
0.7777778,1.476886452520949e-14
0.7878788,1.477862172947256e-14
0.7979798,1.478900343721265e-14
0.8080808,1.480005237603955e-14
0.8181818,1.481181449750438e-14
0.8282828,1.482433899819497e-14
0.8383838,1.483767878343461e-14
0.8484848,1.485189062929028e-14
0.8585859,1.486703549063868e-14
0.8686869,1.488317880694676e-14
0.8787879,1.490039082763232e-14
0.8888889,1.491874695745912e-14
0.8989899,1.493832812225307e-14
0.9090909,1.495922115500797e-14
0.9191919,1.49815192021712e-14
0.9292929,1.500532214955263e-14
0.9393939,1.503073706687293e-14
0.9494949,1.505787866944911e-14
0.959596,1.508686979489145e-14
0.969697,1.511784189194609e-14
0.9797979999999999,1.515093551774521e-14
0.989899,1.518630083871134e-14
1,1.522409812918894e-14
