OP("/NM1" "cdd") X,OP("/NM1" "cdd") Y
0,1.323598142277361e-14
0.01010101,1.323598142316265e-14
0.02020202,1.323598142368899e-14
0.03030303,1.323598142440112e-14
0.04040404,1.323598142536459e-14
0.05050505,1.32359814266681e-14
0.06060606,1.323598142843169e-14
0.07070707,1.323598143081772e-14
0.08080808,1.323598143404588e-14
0.09090909,1.323598143841338e-14
0.1010101,1.323598144432234e-14
0.1111111,1.323598145231677e-14
0.1212121,1.323598146313267e-14
0.1313131,1.323598147776581e-14
0.1414141,1.32359814975633e-14
0.1515152,1.323598152434766e-14
0.1616162,1.32359815605845e-14
0.1717172,1.323598160960939e-14
0.1818182,1.323598167593481e-14
0.1919192,1.323598176566526e-14
0.2020202,1.323598188705868e-14
0.2121212,1.323598205128588e-14
0.2222222,1.323598227345744e-14
0.2323232,1.323598257401227e-14
0.2424242,1.323598298059494e-14
0.2525253,1.323598353059335e-14
0.2626263,1.323598427456805e-14
0.2727273,1.323598528088502e-14
0.2828283,1.323598664197163e-14
0.2929293,1.323598848275923e-14
0.3030303,1.323599097206795e-14
0.3131313,1.323599433794245e-14
0.3232323,1.323599888828008e-14
0.3333333,1.323600503852352e-14
0.3434343,1.323601334873834e-14
0.3535354,1.323602457307597e-14
0.3636364,1.323603972543276e-14
0.3737374,1.323606016601796e-14
0.3838384,1.323608771442709e-14
0.3939394,1.323612479543874e-14
0.4040404,1.323617462364332e-14
0.4141414,1.323624143135331e-14
0.4242424,1.323633073974252e-14
0.4343434,1.323644966402161e-14
0.4444444,1.323660722768864e-14
0.4545455,1.323681463736809e-14
0.4646465,1.323708544048115e-14
0.4747475,1.323743546157647e-14
0.4848485,1.323788240753946e-14
0.4949495,1.323844507152194e-14
0.5050505,1.323914216666744e-14
0.5151515,1.323999096719397e-14
0.5252525,1.32410060623344e-14
0.5353535,1.324219855234236e-14
0.5454545,1.324357589383729e-14
0.5555556,1.324514238635352e-14
0.5656566,1.324690009892668e-14
0.5757576,1.324884995570304e-14
0.5858586,1.325099274012977e-14
0.5959596,1.325332988090714e-14
0.6060605999999999,1.325586398498897e-14
0.6161616,1.325859914905411e-14
0.6262626,1.326154110806528e-14
0.6363636,1.3264697280336e-14
0.6464645999999999,1.326807675701033e-14
0.6565657,1.327169026957687e-14
0.6666666999999999,1.327555015663837e-14
0.6767677,1.327967034204743e-14
0.6868687,1.328406633051383e-14
0.6969697,1.328875522316626e-14
0.7070707000000001,1.329375575356024e-14
0.7171717,1.329908834366388e-14
0.7272727,1.330477517900377e-14
0.7373737,1.331084030214167e-14
0.7474747,1.331730972381184e-14
0.7575758,1.332421155128112e-14
0.7676768,1.33315761337468e-14
0.7777778,1.333943622483144e-14
0.7878788,1.334782716245785e-14
0.7979798,1.335678706658471e-14
0.8080808,1.33663570554535e-14
0.8181818,1.337658148114016e-14
0.8282828,1.338750818532094e-14
0.8383838,1.339918877625087e-14
0.8484848,1.341167892801401e-14
0.8585859,1.342503870313578e-14
0.8686869,1.343933289964401e-14
0.8787879,1.345463142362382e-14
0.8888889,1.347100968822369e-14
0.8989899,1.348854903992926e-14
0.9090909,1.350733721271636e-14
0.9191919,1.352746881041431e-14
0.9292929,1.354904581724039e-14
0.9393939,1.357217813599015e-14
0.9494949,1.359698415276854e-14
0.959596,1.362359132640293e-14
0.969697,1.365213679976901e-14
0.9797979999999999,1.368276802916146e-14
0.989899,1.371564342652848e-14
1,1.375093300783858e-14
