OP("/PM0" "ids") X,OP("/PM0" "ids") Y
0,-3.179362765478709e-12
0.01010101,-4.367315022544766e-12
0.02020202,-5.998455744018679e-12
0.03030303,-8.23770964341831e-12
0.04040404,-1.131112365978693e-11
0.05050505,-1.552836741347407e-11
0.06060606,-2.131342535620728e-11
0.07070707,-2.924640849144788e-11
0.08080808,-4.012042777481076e-11
0.09090909,-5.501881796179879e-11
0.1010101,-7.541977772514068e-11
0.1111111,-1.033378198235167e-10
0.1212121,-1.415144484543786e-10
0.1313131,-1.936743671385447e-10
0.1414141,-2.64868454791736e-10
0.1515152,-3.619309211748729e-10
0.1616162,-4.940856414614207e-10
0.1717172,-6.737458003129104e-10
0.1818182,-9.175616804374787e-10
0.1919192,-1.247783588388874e-09
0.2020202,-1.694020190114362e-09
0.2121212,-2.295486352362754e-09
0.2222222,-3.103848152766746e-09
0.2323232,-4.18678514946121e-09
0.2424242,-5.632400652094498e-09
0.2525253,-7.554619767259311e-09
0.2626263,-1.009972410399177e-08
0.2727273,-1.345418521532668e-08
0.2828283,-1.785398272349601e-08
0.2929293,-2.359563600362569e-08
0.3030303,-3.104924761823498e-08
0.3131313,-4.067395339466277e-08
0.3232323,-5.303628544340355e-08
0.3333333,-6.883204693055189e-08
0.3434343,-8.891231314204792e-08
0.3535354,-1.143140350024018e-07
0.3636364,-1.462953479786392e-07
0.3737374,-1.863750228322107e-07
0.3838384,-2.363745286682804e-07
0.3939394,-2.984599834805674e-07
0.4040404,-3.751800007330545e-07
0.4141414,-4.694943397445411e-07
0.4242424,-5.847876202454779e-07
0.4343434,-7.248624543368089e-07
0.4444444,-8.939073981530536e-07
0.4545455,-1.096437195554729e-06
0.4646465,-1.337205722292505e-06
0.4747475,-1.621095442916169e-06
0.4848485,-1.952990472261013e-06
0.4949495,-2.337642832699293e-06
0.5050505,-2.779542675302922e-06
0.5151515,-3.282802822359151e-06
0.5252525,-3.851066084743324e-06
0.5353535,-4.487440832226976e-06
0.5454545,-5.194466863955162e-06
0.5555556,-5.974110372813102e-06
0.5656566,-6.827784214754998e-06
0.5757576,-7.756388049822905e-06
0.5858586,-8.760362250161672e-06
0.5959596,-9.839749627675528e-06
0.6060605999999999,-1.099425977831993e-05
0.6161616,-1.222333190922875e-05
0.6262626,-1.352619318130845e-05
0.6363636,-1.490191069793141e-05
0.6464645999999999,-1.634943620106126e-05
0.6565657,-1.786764325760696e-05
0.6666666999999999,-1.945535723027193e-05
0.6767677,-2.111137865272935e-05
0.6868687,-2.283450080432738e-05
0.6969697,-2.462352234269209e-05
0.7070707000000001,-2.647725583820444e-05
0.7171717,-2.839453299111261e-05
0.7272727,-3.037420722201219e-05
0.7373737,-3.241515422539304e-05
0.7474747,-3.451627097453303e-05
0.7575758,-3.667647357067746e-05
0.7676768,-3.889469424375767e-05
0.7777778,-4.116987773733889e-05
0.7878788,-4.350097724716232e-05
0.7979798,-4.588695002999546e-05
0.8080808,-4.832675359349875e-05
0.8181818,-5.081933664704917e-05
0.8282828,-5.336364240335649e-05
0.8383838,-5.595859492649235e-05
0.8484848,-5.86030978000591e-05
0.8585859,-6.12960275071182e-05
0.8686869,-6.403622734844199e-05
0.8787879,-6.682250103434808e-05
0.8888889,-6.965360593549735e-05
0.8989899,-7.252824600081573e-05
0.9090909,-7.544506438501648e-05
0.9191919,-7.840263587591056e-05
0.9292929,-8.139945927420444e-05
0.9393939,-8.443394995605435e-05
0.9494949,-8.7504432939532e-05
0.959596,-9.060913687525232e-05
0.969697,-9.374618947951111e-05
0.9797979999999999,-9.691361501085989e-05
0.989899,-0.0001001093344389255
1,-0.0001033311689449961
