OP("/NM1" "ids") X,OP("/NM1" "ids") Y
0,1.755279379855286e-11
0.01010101,2.37397475521429e-11
0.02020202,3.210562022263561e-11
0.03030303,4.34167314298971e-11
0.04040404,5.870831329615498e-11
0.05050505,7.937853394557485e-11
0.06060606,1.073152015459619e-10
0.07070707,1.45066398000517e-10
0.08080808,1.96070101508491e-10
0.09090909,2.649629230406942e-10
0.1010101,3.579947977678336e-10
0.1111111,4.835853462020487e-10
0.1212121,6.530692983811619e-10
0.1313131,8.816936736778733e-10
0.1414141,1.189949343258984e-09
0.1515152,1.605345412077263e-09
0.1616162,2.164768026445428e-09
0.1717172,2.917607468487061e-09
0.1818182,3.929890676333026e-09
0.1919192,5.289722690068869e-09
0.2020202,7.11442199651981e-09
0.2121212,9.559833072689033e-09
0.2222222,1.283241569805598e-08
0.2323232,1.72048447884332e-08
0.2424242,2.303600492243807e-08
0.2525253,3.079642661678979e-08
0.2626263,4.110038076451092e-08
0.2727273,5.474601582053004e-08
0.2828283,7.276508171017646e-08
0.2929293,9.64839308945196e-08
0.3030303,1.275976249763966e-07
0.3131313,1.682591238406927e-07
0.3232323,2.211857323735989e-07
0.3333333,2.897852847160969e-07
0.3434343,3.783050202874445e-07
0.3535354,4.920067837637081e-07
0.3636364,6.37373012227455e-07
0.3737374,8.22348747734123e-07
0.3838384,1.056625197167586e-06
0.3939394,1.351969470177941e-06
0.4040404,1.722602202172791e-06
0.4141414,2.185618981959903e-06
0.4242424,2.76144237030985e-06
0.4343434,3.474279050842151e-06
0.4444444,4.352542539789374e-06
0.4545455,5.429188219721251e-06
0.4646465,6.741897424086995e-06
0.4747475,8.333044344021556e-06
0.4848485,1.024938660493028e-05
0.4949495,1.254143901318499e-05
0.5050505,1.526251956996649e-05
0.5151515,1.846749417306645e-05
0.5252525,2.221128588540655e-05
0.5353535,2.65472492235363e-05
0.5454545,3.152553275019554e-05
0.5555556,3.719155943878377e-05
0.5656566,4.358474227885214e-05
0.5757576,5.073752472494499e-05
0.5858586,5.867479736543326e-05
0.5959596,6.741370075968142e-05
0.6060605999999999,7.696378670031497e-05
0.6161616,8.732748137826109e-05
0.6262626,9.85007766654885e-05
0.6363636,0.0001104740700278035
0.6464645999999999,0.0001232330775446579
0.6565657,0.0001367597552103447
0.6666666999999999,0.0001510331779948895
0.6767677,0.0001660303413464555
0.6868687,0.0001817268639471744
0.6969697,0.0001980975824113793
0.7070707000000001,0.0002151170377459528
0.7171717,0.0002327598597864495
0.7272727,0.0002510010597985035
0.7373737,0.0002698162434586325
0.7474747,0.0002891817569988112
0.7575758,0.0003090747788714008
0.7676768,0.0003294733682448792
0.7777778,0.0003503564802684875
0.7878788,0.0003717039565557961
0.7979798,0.0003934964978736036
0.8080808,0.0004157156246691403
0.8181818,0.000438343629870256
0.8282828,0.000461363527367278
0.8383838,0.0004847589987303462
0.8484848,0.000508514340019878
0.8585859,0.0005326144099934805
0.8686869,0.0005570445805792886
0.8787879,0.0005817906901545853
0.8888889,0.0006068389999206187
0.8989899,0.0006321761534841427
0.9090909,0.000657789139628676
0.9191919,0.0006836652581728971
0.9292929,0.0007097920887595721
0.9393939,0.0007361574623886261
0.9494949,0.0007627494354963998
0.959596,0.0007895562663842612
0.969697,0.0008165663938107848
0.9797979999999999,0.0008437684175788616
0.989899,0.0008711510809710364
1,0.0008987032549107634
