OP("/PM2" "ids") X,OP("/PM2" "ids") Y
0,-4.592503267063045e-06
0.01010101,-3.716214018678793e-06
0.02020202,-2.992505103330974e-06
0.03030303,-2.398615393020728e-06
0.04040404,-1.91409377352917e-06
0.05050505,-1.520906667934039e-06
0.06060606,-1.203411816339591e-06
0.07070707,-9.48230517150922e-07
0.08080808,-7.440527816364766e-07
0.09090909,-5.81407149243458e-07
0.1010101,-4.524209317053411e-07
0.1111111,-3.505892383422835e-07
0.1212121,-2.705638748473151e-07
0.1313131,-2.079671883840805e-07
0.1414141,-1.592316527545322e-07
0.1515152,-1.214634434826103e-07
0.1616162,-9.232711083147732e-08
0.1717172,-6.994825543878006e-08
0.1818182,-5.283140849021345e-08
0.1919192,-3.979079049546404e-08
0.2020202,-2.989207726048813e-08
0.2121212,-2.240365703226117e-08
0.2222222,-1.675610928230766e-08
0.2323232,-1.250879799273864e-08
0.2424242,-9.322583755806751e-09
0.2525253,-6.937747040819196e-09
0.2626263,-5.156296951100898e-09
0.2727273,-3.827923561429097e-09
0.2828283,-2.838938805361618e-09
0.2929293,-2.103638682769644e-09
0.3030303,-1.557604918508465e-09
0.3131313,-1.152544000687415e-09
0.3232323,-8.523335286026178e-10
0.3333333,-6.30008807007251e-10
0.3434343,-4.654763400762293e-10
0.3535354,-3.437856768898594e-10
0.3636364,-2.538277329395614e-10
0.3737374,-1.873572654260149e-10
0.3838384,-1.382606822096877e-10
0.3939394,-1.020088454115748e-10
0.4040404,-7.524892573151505e-11
0.4141414,-5.550048558912862e-11
0.4242424,-4.092950345157792e-11
0.4343434,-3.018056201852599e-11
0.4444444,-2.225236452109365e-11
0.4545455,-1.640547829184084e-11
0.4646465,-1.209401737163553e-11
0.4747475,-8.915087401453963e-12
0.4848485,-6.571396963243695e-12
0.4949495,-4.843620508543204e-12
0.5050505,-3.56997850487719e-12
0.5151515,-2.63115579569411e-12
0.5252525,-1.939166273031647e-12
0.5353535,-1.429133559612239e-12
0.5454545,-1.053225544381043e-12
0.5555556,-7.761792843969288e-13
0.5656566,-5.719998648764778e-13
0.5757576,-4.215256229031153e-13
0.5858586,-3.106325982727802e-13
0.5959596,-2.289105375103999e-13
0.6060605999999999,-1.68686704481277e-13
0.6161616,-1.243061904065882e-13
0.6262626,-9.160136436537051e-14
0.6363636,-6.75007805296454e-14
0.6464645999999999,-4.974090058875456e-14
0.6565657,-3.665361165149646e-14
0.6666666999999999,-2.700961713380132e-14
0.6767677,-1.990301245321774e-14
0.6868687,-1.466621724189406e-14
0.6969697,-1.080728187194599e-14
0.7070707000000001,-7.963684428287726e-15
0.7171717,-5.868281213942958e-15
0.7272727,-4.324214234545944e-15
0.7373737,-3.186419708112976e-15
0.7474747,-2.348001238675039e-15
0.7575758,-1.730187978430218e-15
0.7676768,-1.274934689249915e-15
0.7777778,-9.394686886613337e-16
0.7878788,-6.922714897175635e-16
0.7979798,-5.101176838765939e-16
0.8080808,-3.758929132795572e-16
0.8181818,-2.769859545578756e-16
0.8282828,-2.041038647831533e-16
0.8383838,-1.503988789653532e-16
0.8484848,-1.108250345513249e-16
0.8585859,-8.166407935876242e-17
0.8686869,-6.017612187967234e-17
0.8787879,-4.434220252808197e-17
0.8888889,-3.267459967244561e-17
0.8989899,-2.407704837824748e-17
0.9090909,-1.774173865640582e-17
0.9191919,-1.307341589844984e-17
0.9292929,-9.63345225516051e-18
0.9393939,-7.09863420036097e-18
0.9494949,-5.230794091582076e-18
0.959596,-3.854432409487262e-18
0.969697,-2.840228159067197e-18
0.9797979999999999,-2.092888109642085e-18
0.989899,-1.542193189782514e-18
1,-1.136400828658006e-18
