OP("/NM1" "cgg") X,OP("/NM1" "cgg") Y
0,1.657811619165928e-14
0.01010101,1.653241116284409e-14
0.02020202,1.648737740407267e-14
0.03030303,1.644299919777687e-14
0.04040404,1.639926138034722e-14
0.05050505,1.635614934044109e-14
0.06060606,1.631364902454061e-14
0.07070707,1.627174695198054e-14
0.08080808,1.623043024247233e-14
0.09090909,1.618968666024301e-14
0.1010101,1.614950468038617e-14
0.1111111,1.610987358502567e-14
0.1212121,1.607078359960568e-14
0.1313131,1.603222608329581e-14
0.1414141,1.599419379247854e-14
0.1515152,1.595668124302728e-14
0.1616162,1.591968520621378e-14
0.1717172,1.588320538544438e-14
0.1818182,1.584724533775495e-14
0.1919192,1.581181372663152e-14
0.2020202,1.577692602333544e-14
0.2121212,1.574260681527951e-14
0.2222222,1.570889293585087e-14
0.2323232,1.567583770538039e-14
0.2424242,1.56435166743134e-14
0.2525253,1.561203539573201e-14
0.2626263,1.558153993651888e-14
0.2727273,1.555223107911384e-14
0.2828283,1.552438348707863e-14
0.2929293,1.549837152926339e-14
0.3030303,1.547470400364971e-14
0.3131313,1.54540706969093e-14
0.3232323,1.543740457565518e-14
0.3333333,1.542596442363817e-14
0.3434343,1.542144385652791e-14
0.3535354,1.54261136958834e-14
0.3636364,1.544300529647169e-14
0.3737374,1.547614186299317e-14
0.3838384,1.553082172058975e-14
0.3939394,1.561394962943657e-14
0.4040404,1.573439596938425e-14
0.4141414,1.590333398467303e-14
0.4242424,1.613445677006959e-14
0.4343434,1.644390555429112e-14
0.4444444,1.684965694280285e-14
0.4545455,1.737005142962643e-14
0.4646465,1.802117131092837e-14
0.4747475,1.881300530623094e-14
0.4848485,1.974486576521681e-14
0.4949495,2.080129107372879e-14
0.5050505,2.195029001980077e-14
0.5151515,2.3145619073045e-14
0.5252525,2.433341376992822e-14
0.5353535,2.546141507282044e-14
0.5454545,2.648760819177452e-14
0.5555556,2.738543073709789e-14
0.5656566,2.814453319895445e-14
0.5757576,2.87680217940337e-14
0.5858586,2.926805044388978e-14
0.5959596,2.966144142740567e-14
0.6060605999999999,2.996628024564717e-14
0.6161616,3.019972958781836e-14
0.6262626,3.037689293354674e-14
0.6363636,3.051041526220331e-14
0.6464645999999999,3.061052463883134e-14
0.6565657,3.068529464849967e-14
0.6666666999999999,3.074098743161528e-14
0.6767677,3.078239883863253e-14
0.6868687,3.081316806104127e-14
0.6969697,3.083603819679418e-14
0.7070707000000001,3.085306698191117e-14
0.7171717,3.086579280375699e-14
0.7272727,3.087536315554112e-14
0.7373737,3.08826327855802e-14
0.7474747,3.088823802289684e-14
0.7575758,3.089265270207097e-14
0.7676768,3.089623004930595e-14
0.7777778,3.089923395046909e-14
0.7878788,3.090186223839986e-14
0.7979798,3.090426400890538e-14
0.8080808,3.090655248378822e-14
0.8181818,3.090881456139272e-14
0.8282828,3.091111790767542e-14
0.8383838,3.091351622381352e-14
0.8484848,3.091605316350353e-14
0.8585859,3.091876525136407e-14
0.8686869,3.092168406312056e-14
0.8787879,3.092483786076291e-14
0.8888889,3.092825282574395e-14
0.8989899,3.093195399609255e-14
0.9090909,3.093596598572975e-14
0.9191919,3.094031354381442e-14
0.9292929,3.094502199675997e-14
0.9393939,3.095011760427804e-14
0.9494949,3.095562785239811e-14
0.959596,3.096158170012516e-14
0.969697,3.096800979166564e-14
0.9797979999999999,3.097494464255962e-14
0.989899,3.098242080529098e-14
1,3.099047501777976e-14
