OP("/PM0" "gm") X,OP("/PM0" "gm") Y
0,4.373144929988233e-05
0.01010101,3.806229067053679e-05
0.02020202,3.283815551245978e-05
0.03030303,2.808502662258774e-05
0.04040404,2.381599519376582e-05
0.05050505,2.003086678660671e-05
0.06060606,1.671684004683694e-05
0.07070707,1.385014050335138e-05
0.08080808,1.139835969089393e-05
0.09090909,9.323172131986413e-06
0.1010101,7.583090703226769e-06
0.1111111,6.135968054496432e-06
0.1212121,4.941038532904726e-06
0.1313131,3.960397061606714e-06
0.1414141,3.159906714445419e-06
0.1515152,2.50960029728201e-06
0.1616162,1.983686122769641e-06
0.1717172,1.560284369216474e-06
0.1818182,1.221013006939336e-06
0.1919192,9.505192107901047e-07
0.2020202,7.360222000176824e-07
0.2121212,5.669041992896707e-07
0.2222222,4.343628737786688e-07
0.2323232,3.311233547265616e-07
0.2424242,2.51200455267705e-07
0.2525253,1.896999104169463e-07
0.2626263,1.426490191318169e-07
0.2727273,1.068498335542408e-07
0.2828283,7.975067829794774e-08
0.2929293,5.933367224964126e-08
0.3030303,4.401697457372823e-08
0.3131313,3.25708690393373e-08
0.3232323,2.404679920860082e-08
0.3333333,1.771830031834305e-08
0.3434343,1.303259458196209e-08
0.3535354,9.571503020564603e-09
0.3636364,7.020301920589811e-09
0.3737374,5.143206829483391e-09
0.3838384,3.764279121361653e-09
0.3939394,2.752694908878175e-09
0.4040404,2.01147252489093e-09
0.4141414,1.468907853741463e-09
0.4242424,1.07210707238238e-09
0.4343434,7.821291029862867e-10
0.4444444,5.703538110999411e-10
0.4545455,4.157773306701623e-10
0.4646465,3.030046442924593e-10
0.4747475,2.20763986569452e-10
0.4848485,1.608101543407806e-10
0.4949495,1.171166353147358e-10
0.5050505,8.528157629350182e-11
0.5151515,6.209166847435853e-11
0.5252525,4.520239523245012e-11
0.5353535,3.290386155130767e-11
0.5454545,2.394946577776927e-11
0.5555556,1.743065325886576e-11
0.5656566,1.268542216541853e-11
0.5757576,9.231526182359495e-12
0.5858586,6.71773286749512e-12
0.5959596,4.888272813376137e-12
0.6060605999999999,3.556919580165965e-12
0.6161616,2.588097477792578e-12
0.6262626,1.883115470643749e-12
0.6363636,1.370138652490744e-12
0.6464645999999999,9.968839779909174e-13
0.6565657,7.253011096382042e-13
0.6666666999999999,5.276994383447075e-13
0.6767677,3.839284405878013e-13
0.6868687,2.793251124247475e-13
0.6969697,2.032199336798435e-13
0.7070707000000001,1.478494625165246e-13
0.7171717,1.075649400736277e-13
0.7272727,7.825635847251502e-14
0.7373737,5.693335065332441e-14
0.7474747,4.142021309383833e-14
0.7575758,3.013398822727027e-14
0.7676768,2.192299026619952e-14
0.7777778,1.594931451172106e-14
0.7878788,1.160335145291133e-14
0.7979798,8.441588606120334e-15
0.8080808,6.141356848350948e-15
0.8181818,4.467905536577142e-15
0.8282828,3.250447865789497e-15
0.8383838,2.364732732732052e-15
0.8484848,1.720365047896962e-15
0.8585859,1.251580802974323e-15
0.8686869,9.105356408870299e-16
0.8787879,6.624221012210969e-16
0.8888889,4.819172961462833e-16
0.8989899,3.50598515513012e-16
0.9090909,2.550630289191388e-16
0.9191919,1.855602079205658e-16
0.9292929,1.349963732827631e-16
0.9393939,9.821080657868401e-17
0.9494949,7.144903886331352e-17
0.959596,5.197966189138502e-17
0.969697,3.781555367330105e-17
0.9797979999999999,2.751106718514728e-17
0.989899,2.001448307493984e-17
1,1.456066767036547e-17
