OP("/PM1" "gm") X,OP("/PM1" "gm") Y
0,2.054365369361532e-10
0.01010101,2.802440878336496e-10
0.02020202,3.822339403142637e-10
0.03030303,5.212488346547392e-10
0.04040404,7.106753782994904e-10
0.05050505,9.687081654403157e-10
0.06060606,1.320057906316324e-09
0.07070707,1.798255517194682e-09
0.08080808,2.448753822965171e-09
0.09090909,3.333093171288193e-09
0.1010101,4.534480602452373e-09
0.1111111,6.165238531512226e-09
0.1212121,8.376712770987751e-09
0.1313131,1.137239566916223e-08
0.1414141,1.542522190258116e-08
0.1515152,2.090023391500537e-08
0.1616162,2.828408957774494e-08
0.1717172,3.822318933699231e-08
0.1818182,5.157251915360669e-08
0.1919192,6.945761446787147e-08
0.2020202,9.335231455839927e-08
0.2121212,1.251751539625195e-07
0.2222222,1.674072875713827e-07
0.2323232,2.232347476355644e-07
0.2424242,2.967176118737095e-07
0.2525253,3.929884366650703e-07
0.2626263,5.184823161817279e-07
0.2727273,6.812015409311268e-07
0.2828283,8.91019502872273e-07
0.2929293,1.160031597443173e-06
0.3030303,1.502965367676133e-06
0.3131313,1.937667129993723e-06
0.3232323,2.485685624198022e-06
0.3333333,3.172971178122467e-06
0.3434343,4.030696780067829e-06
0.3535354,5.096180910156543e-06
0.3636364,6.413848987822882e-06
0.3737374,8.036113515992039e-06
0.3838384,1.002399125736733e-05
0.3939394,1.244722372236511e-05
0.4040404,1.538364294865037e-05
0.4141414,1.89175453786673e-05
0.4242424,2.313691446710871e-05
0.4343434,2.812946931690029e-05
0.4444444,3.397770043555847e-05
0.4545455,4.075325776461879e-05
0.4646465,4.851124033502115e-05
0.4747475,5.728505481982702e-05
0.4848485,6.708252140291106e-05
0.4949495,7.788378971978952e-05
0.5050505,8.964139648692306e-05
0.5151515,0.0001022824937003444
0.5252525,0.00011571296732842
0.5353535,0.000129822918285912
0.5454545,0.00014449283835468
0.5555556,0.0001595998002203722
0.5656566,0.0001750230772606349
0.5757576,0.0001906487770722384
0.5858586,0.0002063732672364904
0.5959596,0.0002221053525076709
0.6060605999999999,0.0002377673032107667
0.6161616,0.0002532949244173844
0.6262626,0.0002686368964129468
0.6363636,0.0002837536188817806
0.6464645999999999,0.0002986157669195601
0.6565657,0.000313202728669471
0.6666666999999999,0.0003275010517784913
0.6767677,0.0003415029855478873
0.6868687,0.0003552051712765357
0.6969697,0.000368607506303206
0.7070707000000001,0.0003817121875942775
0.7171717,0.0003945229275094785
0.7272727,0.0004070443263680483
0.7373737,0.0004192813823466447
0.7474747,0.0004312391179133132
0.7575758,0.0004429223024913213
0.7676768,0.0004543352526249198
0.7777778,0.0004654816930594583
0.7878788,0.0004763646644916961
0.7979798,0.0004869864660629457
0.8080808,0.0004973486308435857
0.8181818,0.0005074518703403521
0.8282828,0.0005172961502680125
0.8383838,0.0005268806122347908
0.8484848,0.0005362036185447057
0.8585859,0.0005452627493532907
0.8686869,0.0005540548068910031
0.8787879,0.0005625758181950478
0.8888889,0.0005708210366499745
0.8989899,0.0005787849434833593
0.9090909,0.0005864612512467306
0.9191919,0.0005938429122539403
0.9292929,0.0006009221359507997
0.9393939,0.0006076904202238684
0.9494949,0.0006141386026570101
0.959596,0.0006202569385951719
0.969697,0.0006260352134006369
0.9797979999999999,0.0006314628962527409
0.989899,0.0006365293419666269
1,0.0006412240452987612
