OP("/NM0" "gm") X,OP("/NM0" "gm") Y
0,3.230045975047073e-10
0.01010101,4.406523403442189e-10
0.02020202,6.01072851639053e-10
0.03030303,8.197707591189166e-10
0.04040404,1.117843737509215e-09
0.05050505,1.523984122090542e-09
0.06060606,2.077187492046498e-09
0.07070707,2.830412477612706e-09
0.08080808,3.855517282565626e-09
0.09090909,5.249904859875351e-09
0.1010101,7.145447119624642e-09
0.1111111,9.720436998897622e-09
0.1212121,1.321554478023346e-08
0.1313131,1.795504144947696e-08
0.1414141,2.437490662082853e-08
0.1515152,3.305986928106465e-08
0.1616162,4.479193965137902e-08
0.1717172,6.061357524507768e-08
0.1818182,8.190926644011735e-08
0.1919192,1.105099910677504e-07
0.2020202,1.488256146119785e-07
0.2121212,2.000108174433669e-07
0.2222222,2.681704058200644e-07
0.2323232,3.586097966382612e-07
0.2424242,4.781359761507929e-07
0.2525253,6.354133338654881e-07
0.2626263,8.413776620229043e-07
0.2727273,1.109710768183345e-06
0.2828283,1.457378400861425e-06
0.2929293,1.905236665248966e-06
0.3030303,2.478717978931662e-06
0.3131313,3.208617531297024e-06
0.3232323,4.132014408058091e-06
0.3333333,5.293374870170828e-06
0.3434343,6.745892517239342e-06
0.3535354,8.553112230802764e-06
0.3636364,1.079085191050507e-05
0.3737374,1.354937043541362e-05
0.3838384,1.693563069892868e-05
0.3939394,2.107538129111677e-05
0.4040404,2.611464843746663e-05
0.4141414,3.222011913314682e-05
0.4242424,3.957784008653672e-05
0.4343434,4.83896880662547e-05
0.4444444,5.886721230809727e-05
0.4545455,7.122272166100334e-05
0.4646465,8.56578774778571e-05
0.4747475,0.0001023505143534275
0.4848485,0.0001214408648758199
0.4949495,0.0001430187050202873
0.5050505,0.0001671130560038751
0.5151515,0.0001936859042382731
0.5252525,0.0002226309305482165
0.5353535,0.0002537775527576845
0.5454545,0.0002868998273610931
0.5555556,0.0003217290936304585
0.5656566,0.000357968814137047
0.5757576,0.0003953099365532932
0.5858586,0.0004334452587373126
0.5959596,0.0004720816440868362
0.6060605999999999,0.0005109493980640419
0.6161616,0.000549808575285114
0.6262626,0.0005884523640639494
0.6363636,0.0006267079539750474
0.6464645999999999,0.0006644354279123145
0.6565657,0.0007015252523081589
0.6666666999999999,0.0007378948974559271
0.6767677,0.0007734850350487808
0.6868687,0.0008082556579180419
0.6969697,0.0008421823659184812
0.7070707000000001,0.0008752529729992904
0.7171717,0.000907464518777236
0.7272727,0.0009388207142774108
0.7373737,0.0009693298143167575
0.7474747,0.0009990028854705833
0.7575758,0.001027852425562828
0.7676768,0.001055891285244186
0.7777778,0.001083131842009809
0.7878788,0.001109585380033823
0.7979798,0.001135261634042704
0.8080808,0.001160168461126437
0.8181818,0.001184311610255508
0.8282828,0.001207694564952822
0.8383838,0.00123031843986992
0.8484848,0.001252181916872358
0.8585859,0.001273281210668654
0.8686869,0.001293610058087424
0.8787879,0.001313159728905417
0.8888889,0.001331919059738191
0.8989899,0.001349874515982623
0.9090909,0.001367010290151957
0.9191919,0.001383308448098195
0.9292929,0.001398749137392801
0.9393939,0.001413310874220047
0.9494949,0.001426970926059379
0.959596,0.001439705806579054
0.969697,0.001451491895821486
0.9797979999999999,0.001462306192234842
0.989899,0.001472127192904832
1,0.001480935884437653
