OP("/NM1" "gm") X,OP("/NM1" "gm") Y
0,5.247300139812408e-10
0.01010101,7.095604349973665e-10
0.02020202,9.594130198680013e-10
0.03030303,1.297115140825446e-09
0.04040404,1.753481396646382e-09
0.05050505,2.370093083698793e-09
0.06060606,3.203036258013022e-09
0.07070707,4.327924113463399e-09
0.08080808,5.846637340491567e-09
0.09090909,7.896358305505577e-09
0.1010101,1.066166130837459e-08
0.1111111,1.439066428666788e-08
0.1212121,1.941656236618796e-08
0.1313131,2.618626880428122e-08
0.1414141,3.529840523214335e-08
0.1515152,4.75535341263792e-08
0.1616162,6.40203366209719e-08
0.1717172,8.612243117625678e-08
0.1818182,1.157517208256108e-07
0.1919192,1.554155546890702e-07
0.2020202,2.084265791134466e-07
0.2121212,2.791458906091004e-07
0.2222222,3.732919004332903e-07
0.2323232,4.983290424314906e-07
0.2424242,6.639519137965091e-07
0.2525253,8.826814111685757e-07
0.2626263,1.170589704240297e-06
0.2727273,1.54817037306092e-06
0.2828283,2.041368867320634e-06
0.2929293,2.682787193858568e-06
0.3030303,3.513076552702618e-06
0.3131313,4.582534273930819e-06
0.3232323,5.952928897057807e-06
0.3333333,7.69959102640133e-06
0.3434343,9.9138269230121e-06
0.3535354,1.270573143599939e-05
0.3636364,1.620748494061233e-05
0.3737374,2.057719601280473e-05
0.3838384,2.600327299190694e-05
0.3939394,3.270915050375405e-05
0.4040404,4.095795189732453e-05
0.4141414,5.105635238775866e-05
0.4242424,6.335657334253368e-05
0.4343434,7.825517338955264e-05
0.4444444,9.618721481172388e-05
0.4545455,0.000117614574970851
0.4646465,0.0001430077034443364
0.4747475,0.0001728209882063854
0.4848485,0.0002074629937965111
0.4949495,0.0002472639898787151
0.5050505,0.0002924441560463251
0.5151515,0.0003430863709630784
0.5252525,0.0003991173705290617
0.5353535,0.0004603002199801534
0.5454545,0.0005262395942454997
0.5555556,0.0005963995743862291
0.5656566,0.0006701319210361291
0.5757576,0.0007467114452219544
0.5858586,0.000825374413152396
0.5959596,0.0009053559651945772
0.6060605999999999,0.0009859231928138765
0.6161616,0.001066401572408277
0.6262626,0.001146193635301005
0.6363636,0.00122478982868468
0.6464645999999999,0.0013017723439731
0.6565657,0.001376813198433841
0.6666666999999999,0.001449668069101954
0.6767677,0.001520167356566775
0.6868687,0.001588205779356491
0.6969697,0.00165373154251049
0.7070707000000001,0.001716735845998844
0.7171717,0.001777243239884416
0.7272727,0.001835303115491177
0.7373737,0.001890982453409582
0.7474747,0.001944359828766529
0.7575758,0.0019955205954968
0.7676768,0.002044553125952244
0.7777778,0.002091545961515555
0.7878788,0.002136585726347304
0.7979798,0.002179755663805789
0.8080808,0.002221134668745614
0.8181818,0.002260796705468361
0.8282828,0.00229881051831671
0.8383838,0.00233523955836831
0.8484848,0.00237014206461094
0.8585859,0.002403571251006834
0.8686869,0.002435575561896592
0.8787879,0.002466198967339628
0.8888889,0.002495481277415669
0.8989899,0.002523458460440708
0.9090909,0.002550162954708676
0.9191919,0.002575623966975155
0.9292929,0.002599867753647549
0.9393939,0.002622917882709075
0.9494949,0.00264479547592659
0.959596,0.002665519431994067
0.969697,0.002685106632042925
0.9797979999999999,0.002703572129483686
0.989899,0.002720929326492331
1,0.002737190139664257
